species	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331
Akkermansia muciniphila	97000	97000	97000	97000	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis	994000	994000	994000	994000	4928	3449	3500	16	18	16	1008	893	1158	17389	8029	21639
Bifidobacterium adolescentis	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides difficile	262000	262000	262000	262000	26703	23544	23044	76	100	130	3035	2697	3975	68434	62917	48871
Clostridium perfringens	20	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus faecalis	90	90	90	90	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia albertii	0	0	0	0	5323	6807	5167	34	38	35	4887	4410	4471	19201	23972	15425
Escherichia coli	1212000	1212000	1212000	1212000	50508	64184	46874	257	378	319	24023	21984	21862	183016	225454	151141
Escherichia fergusonii	0	0	0	0	5299	6783	5156	42	45	33	1780	1777	1653	20402	24864	17442
Faecalibacterium prausnitzii	1763000	1763000	1763000	1763000	84654	93568	75495	456	529	435	164957	223571	155329	329420	333733	246729
Fusobacterium nucleatum	749000	749000	749000	749000	6819	5236	6797	33	24	28	5414	6054	5590	11322	8226	21803
Fusobacterium sp. HMSC065F01	0	0	0	0	6566	4746	6490	24	20	20	5319	5766	5417	11191	8130	21309
Lactobacillus sp. HMSC24D01	0	0	0	0	125	121	140	2	1	2	56192	64898	46860	1590	1664	1260
Limosilactobacillus fermentum	963000	963000	963000	963000	383	378	424	2	2	1	173235	195992	132924	5281	5338	3682
Limosilactobacillus oris	0	0	0	0	360	340	439	7	3	5	166010	186848	127081	5009	4846	3667
Methanobrevibacter smithii	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola dorei	0	0	0	0	7218	5048	4847	40	20	13	1387	1258	1550	24408	11036	29594
Prevotella corporis	498000	498000	498000	498000	9833	5820	7704	50	17	30	2345	1638	1995	32619	12251	33988
Roseburia hominis	989000	989000	989000	989000	15930	13789	14982	51	45	46	402795	327116	487537	59352	53993	41113
Salmonella enterica	900	900	900	900	268	333	238	2	1	2	116	111	97	957	1183	899
Shigella boydii	0	0	0	0	4615	5893	4452	26	41	23	2204	2006	1949	16982	20527	14553
Shigella dysenteriae	0	0	0	0	2961	4072	3039	18	14	18	1717	1427	1444	11363	12488	11997
Shigella flexneri	0	0	0	0	15881	20191	15439	80	134	105	9361	8356	8468	57884	70104	49600
Shigella genomosp. SF-2015	0	0	0	0	38815	49736	36996	218	257	249	22543	20413	20720	143236	175498	120455
Veillonella rogosae	1587000	1587000	1587000	1587000	157798	139093	152080	689	635	821	283067	245457	359027	433990	398618	308298
